overall_rank,player_id,player,position,projected_points,uncertainty,rookie,model,draft_pick,draft_round,replacement_points,vorp,floor,ceiling,position_rank,pos_rank
1,00-0041562,Fernando Mendoza,QB,213.26881196103895,49.20956641577527,True,rookie_prior,1.0,1.0,19.212282881673925,194.05652907936502,150.2805669488466,276.25705697323133,1,QB1
2,00-0041027,Jeremiyah Love,RB,212.79381050593852,61.92966281179264,True,rookie_prior,3.0,1.0,27.58446426451325,185.20934624142527,133.52384210684394,292.06377890503313,1,RB1
3,00-0041568,Ty Simpson,QB,191.42998470174268,61.13267262640708,True,rookie_prior,13.0,1.0,19.212282881673925,172.21770182006875,113.18016373994162,269.67980566354373,2,QB2
4,00-0041438,Carnell Tate,WR,158.77532075091577,48.35966973898628,True,rookie_prior,4.0,1.0,11.890643379953387,146.88467737096238,96.87494348501333,220.67569801681822,1,WR1
5,00-0041512,Jadarian Price,RB,151.76147968620273,44.484641054150096,True,rookie_prior,32.0,1.0,27.58446426451325,124.17701542168948,94.82113913689061,208.70182023551484,2,RB2
6,00-0041547,KC Concepcion,WR,121.81791149139745,47.27137403756113,True,rookie_prior,24.0,1.0,11.890643379953387,109.92726811144406,61.310552723319205,182.3252702594757,2,WR2
7,00-0041029,Jordyn Tyson,WR,118.61353307503617,58.41611016601979,True,rookie_prior,8.0,1.0,11.890643379953387,106.72288969508278,43.84091206253083,193.3861540875415,3,WR3
8,00-0041035,De'Zhaun Stribling,WR,118.38377592496389,54.8113393694497,True,rookie_prior,33.0,2.0,11.890643379953387,106.4931325450105,48.225261532068274,188.5422903178595,4,WR4
9,00-0040867,Makai Lemon,WR,118.36885859385048,43.604115164696054,True,rookie_prior,20.0,1.0,11.890643379953387,106.47821521389709,62.555591183039525,174.18212600466143,5,WR5
10,00-0041489,Germie Bernard,WR,114.08548941602852,50.11414386586757,True,rookie_prior,47.0,2.0,11.890643379953387,102.19484603607513,49.93938526771804,178.231593564339,6,WR6
11,00-0041037,Denzel Boston,WR,106.90737876678867,43.77355939606232,True,rookie_prior,39.0,2.0,11.890643379953387,95.01673538683528,50.8772227398289,162.93753479374843,7,WR7
12,00-0041511,Omar Cooper Jr.,WR,101.72479834276837,55.057015045092854,True,rookie_prior,30.0,1.0,11.890643379953387,89.83415496281498,31.25181908504952,172.1977776004872,8,WR8
13,00-0041042,Malachi Fields,WR,84.82690678943281,50.508592951910245,True,rookie_prior,74.0,3.0,11.890643379953387,72.93626340947942,20.175907810987695,149.47790576787793,9,WR9
14,00-0040891,Cole Payton,QB,90.11145257431457,62.52277123455043,True,rookie_prior,178.0,5.0,19.212282881673925,70.89916969264064,10.082305394090014,170.14059975453912,3,QB3
15,00-0041044,Zachariah Branch,WR,81.73258109401714,42.95175502216846,True,rookie_prior,79.0,3.0,11.890643379953387,69.84193771406375,26.7543346656415,136.71082752239278,10,WR10
