overall_rank,player_id,player,position,projected_points,uncertainty,rookie,model,draft_pick,draft_round,replacement_points,vorp,floor,ceiling,position_rank,pos_rank
1,00-0041027,Jeremiyah Love,RB,249.1637321172163,61.225995688319,True,rookie_prior,3.0,1.0,27.877721946608947,221.28601017060737,170.79445763616798,327.53300659826465,1,RB1
2,00-0041562,Fernando Mendoza,QB,206.17699484959505,48.2503577327098,True,rookie_prior,1.0,1.0,20.300755349539358,185.8762395000557,144.4165369517265,267.93745274746357,1,QB1
3,00-0041568,Ty Simpson,QB,191.15317092773896,65.88212939798213,True,rookie_prior,13.0,1.0,20.300755349539358,170.8524155781996,106.82404529832183,275.4822965571561,2,QB2
4,00-0041438,Carnell Tate,WR,184.9980608061938,57.366124589597796,True,rookie_prior,4.0,1.0,14.511237032634035,170.48682377355976,111.56942133150861,258.426700280879,1,WR1
5,00-0041029,Jordyn Tyson,WR,151.57640129792443,67.81078270403097,True,rookie_prior,8.0,1.0,14.511237032634035,137.0651642652904,64.7785994367648,238.37420315908406,2,WR2
6,00-0041512,Jadarian Price,RB,164.66252553424346,50.992956122571286,True,rookie_prior,32.0,1.0,27.877721946608947,136.7848035876345,99.39154169735221,229.9335093711347,2,RB2
7,00-0041547,KC Concepcion,WR,148.93765299811298,55.685515758818745,True,rookie_prior,24.0,1.0,14.511237032634035,134.42641596547895,77.66019282682498,220.21511316940098,3,WR3
8,00-0041035,De'Zhaun Stribling,WR,142.7381685262516,61.40986826021454,True,rookie_prior,33.0,2.0,14.511237032634035,128.22693149361757,64.13353715317699,221.34279989932622,4,WR4
9,00-0040867,Makai Lemon,WR,142.4567365202575,50.515973440355125,True,rookie_prior,20.0,1.0,14.511237032634035,127.94549948762347,77.79629051660294,207.11718252391205,5,WR5
10,00-0041489,Germie Bernard,WR,136.89304194816307,61.18997153537197,True,rookie_prior,47.0,2.0,14.511237032634035,122.38180491552905,58.569878382886955,215.2162055134392,6,WR6
11,00-0041511,Omar Cooper Jr.,WR,127.69690412309915,64.52776350295123,True,rookie_prior,30.0,1.0,14.511237032634035,113.1856670904651,45.10136683932157,210.29244140687672,7,WR7
12,00-0041037,Denzel Boston,WR,125.57763588256181,47.570278524910364,True,rookie_prior,39.0,2.0,14.511237032634035,111.06639884992777,64.68767937067653,186.46759239444708,8,WR8
13,00-0040891,Cole Payton,QB,102.30637900155405,62.48736709721107,True,rookie_prior,178.0,5.0,20.300755349539358,82.00562365201469,22.322549117123884,182.2902088859842,3,QB3
14,00-0041044,Zachariah Branch,WR,96.16152122521923,53.28645019814478,True,rookie_prior,79.0,3.0,14.511237032634035,81.65028419258519,27.95486497159392,164.36817747884453,9,WR9
15,00-0041042,Malachi Fields,WR,94.24833812887123,57.03900430712213,True,rookie_prior,74.0,3.0,14.511237032634035,79.73710109623718,21.238412615754896,167.25826364198755,10,WR10
16,00-0041032,Kenyon Sadiq,TE,107.95040139282929,49.7897437899422,True,rookie_prior,16.0,1.0,34.90076121701828,73.04964017581102,44.21952934170327,171.68127344395532,1,TE1
17,00-0041529,Kevin Coleman Jr.,WR,83.14243470973473,65.2328786708846,True,rookie_prior,177.0,5.0,14.511237032634035,68.63119767710069,0.0,166.64051940846701,11,WR11
18,00-0041051,Zavion Thomas,WR,82.76143215440109,54.160055535453104,True,rookie_prior,89.0,3.0,14.511237032634035,68.25019512176706,13.436561069021124,152.08630323978105,12,WR12
19,00-0041523,Caleb Douglas,WR,77.95080157742252,50.952286701460935,True,rookie_prior,75.0,3.0,14.511237032634035,63.43956454478849,12.731874599552526,143.16972855529252,13,WR13
20,00-0041040,Antonio Williams,WR,77.67238967088467,49.087174879728906,True,rookie_prior,71.0,3.0,14.511237032634035,63.161152638250634,14.84080582483167,140.50397351693766,14,WR14
